symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	expressionAtlas	impc
WASHC1	0.009689350712978606	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07969123090198077	No data
UXS1	0.0096842754777762	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07964948901933272	No data
AJAP1	0.009670578234433342	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07953683439320858	No data
GPR160	0.009663165015099041	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07947586347872765	No data
TMEM92-AS1	0.009651530987760816	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07938017802090966	No data
ENPP2	0.00964936676703385	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07936237812711032	No data
PTPRR	0.009648905866991372	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07935858739924878	No data
H4C15	0.009640220074886515	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07928715005688203	No data
MISP3	0.009640135636661447	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0792864555845391	No data
SH3BGRL3	0.009638345074906	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0792717288939151	No data
AP1S1	0.00963314498583955	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.079228960135638	No data
ZDHHC23	0.009624570067487136	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07915843468779014	No data
MRPL21	0.009622211729012517	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07913903824921618	No data
RECQL	0.009612241384380087	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07905703595001042	No data
KCNH7	0.009603810548555662	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07898769552625208	No data
IGHV5-51	0.009603504830307736	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07898518110973357	No data
ENSG00000253163	0.009582696987228783	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07881404450042952	No data
LRRC15	0.009581068526605759	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07880065103007548	No data
TBXAS1	0.009579410633209162	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0787870154863334	No data
MS4A6E	0.009566600795975532	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07868165943854016	No data
PLVAP	0.009565982075003475	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07867657069345202	No data
ZNF888-AS1	0.009553105981539283	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07857066971331761	No data
ENSG00000229618	0.009545710413137422	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07850984397105454	No data
KLKB1	0.009542163338639196	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07848067063000848	No data
TMEM92	0.009534898743146048	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07842092209019368	No data
ENSG00000237927	0.009527248354231644	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07835800054596151	No data
MSMB	0.00951862536227347	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07828707971095815	No data
PPIC	0.009512985459584225	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07824069365261564	No data
PACS1	0.009508653038955648	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07820506113781626	No data
ALG3	0.009488783566593611	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07804164227139188	No data
CD163	0.009472552680236794	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07790814939341477	No data
CLEC7A	0.009466457126778358	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07785801578049052	No data
CLEC19A	0.009463125751964814	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07783061648745725	No data
PCSK5	0.009457907158586588	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07778769553824125	No data
ARHGAP42	0.009454534769648266	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0777599589196033	No data
TSHZ2	0.009448777939184383	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07771261117470783	No data
RMND5A	0.009448393911863907	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07770945269579885	No data
TPRN	0.009445841917255225	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07768846350904678	No data
EFCAB5	0.009438779322712875	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07763037635035949	No data
PLS3	0.009424126521781692	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07750986262586364	No data
ACSL5	0.00942248713833294	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.077496379319415	No data
HIGD1A	0.009416894697366203	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07745038361572053	No data
PYGB	0.009416894697366203	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07745038361572053	No data
COX5A	0.009416894697366203	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07745038361572053	No data
SPR	0.009416894697366203	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07745038361572053	No data
MPND	0.009416894697366203	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07745038361572053	No data
UQCRC1	0.009416894697366203	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07745038361572053	No data
MMP15	0.009416894697366203	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07745038361572053	No data
CYC1	0.009416894697366203	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07745038361572053	No data
DCTPP1	0.009416894697366203	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07745038361572053	No data
SPINT2	0.009416894697366203	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07745038361572053	No data
CACFD1	0.009416894697366203	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07745038361572053	No data
BCAT2	0.009416894697366203	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07745038361572053	No data
PRRG2	0.009416894697366203	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07745038361572053	No data
ENSG00000235021	0.009415380820862627	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07743793255624531	No data
IGKV2D-26	0.009414171622599644	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07742798735962315	No data
SPINT1	0.009411777845250885	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0774082994497643	No data
GTF2H2	0.009398701989984999	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07730075550465364	No data
CBX2	0.009382625457167728	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07716853212593659	No data
RBM20	0.00938021432889746	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07714870151133588	No data
PLEKHJ1	0.009377915641628577	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07712979568128159	No data
DXO	0.009375908548321517	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07711328810085513	No data
NMUR1	0.009375014849452992	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07710593776696814	No data
NIPAL1	0.009370870809132074	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07707185460867777	No data
LINC01648	0.009363553889910402	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07701167572606138	No data
PLPP4	0.00935850636024652	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07697016171094885	No data
FBH1	0.009356498557000461	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07695364829154366	No data
ACHE	0.009349443293104895	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.076895621424643	No data
MT-TA	0.009349334598192273	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07689472745025439	No data
SLC22A18	0.009347062646391091	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0768760415092714	No data
TTPA	0.009346854428962091	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07687432899997086	No data
SLC6A18	0.009345734252224683	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07686511597159815	No data
PTPRJ	0.00934417797517507	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07685231618372979	No data
C1orf115	0.009343060234135944	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0768431231880507	No data
USP30	0.009320803935148178	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07666007357882541	No data
LINC01226	0.009305578021196834	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07653484621732998	No data
CYP4A22	0.009296397741854924	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07645934190517818	No data
CEACAM1	0.009296224463149405	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07645791675361324	No data
COL6A2	0.009285037060197933	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07636590461180841	No data
GNG4	0.009281513638678783	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07633692580753504	No data
EIF2AK3	0.00927884308216565	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07631496149413271	No data
ENSG00000279756	0.009256544055902738	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0761315604692914	No data
CD53	0.009247756841986686	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07605928897103394	No data
VSIG10	0.009241503119462346	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07600785447759398	No data
COMTD1	0.009240544299223262	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07599996854515849	No data
ARTN	0.009234376419842752	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07594924007898485	No data
GLCCI1	0.00922837098815722	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07589984768342663	No data
RIC8A	0.009224713172930155	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07586976354193031	No data
SLC25A20	0.009224713172930155	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07586976354193031	No data
CIPC	0.009224713172930155	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07586976354193031	No data
CPT1A	0.009224713172930155	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07586976354193031	No data
MT-ND5	0.009224713172930155	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07586976354193031	No data
ACADM	0.009224713172930155	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07586976354193031	No data
DHRS3	0.009224713172930155	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07586976354193031	No data
CASP4	0.009224713172930155	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07586976354193031	No data
HOXA2	0.009224713172930155	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07586976354193031	No data
TMEM176A	0.009224713172930155	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07586976354193031	No data
CORO1B	0.009224713172930155	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07586976354193031	No data
HSPD1	0.009224713172930155	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07586976354193031	No data
SLC7A11-AS1	0.009222684631975486	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07585307956274516	No data
LDHA	0.00920445185356643	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0757031218826878	No data
PRSS33	0.009200196808838339	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07566812575529296	No data
ENSG00000267015	0.009200053098769681	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07566694379454	No data
HCLS1	0.009198940355031828	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07565779189976657	No data
TNNC1	0.00918922861926662	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07557791656030884	No data
FGFR3	0.00918814810085034	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0755690297065705	No data
FAM83E	0.009181224209546628	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0755120833293602	No data
P2RX2	0.009179454094277834	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07549752480332607	No data
PRSS8	0.009171500100583325	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07543210622504581	No data
LZTR1	0.009167819152215363	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07540183182224845	No data
MRPL32	0.00916401251580688	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07537052368303725	No data
ENSG00000259923	0.009161232184071331	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0753476565101084	No data
SIAE	0.009158723137668955	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07532702055604723	No data
ENSG00000258837	0.009156708771556875	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07531045315956071	No data
COX5B	0.009145874838918926	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07522134817688414	No data
SEC16B	0.009138919848540485	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07516414602159141	No data
SLC30A2	0.009138806748708051	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07516321581840976	No data
SDC4	0.009132776429481522	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07511361873227576	No data
TBC1D10C	0.009128836574333601	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07508121491951122	No data
UBXN4	0.009128622410712134	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0750794535050352	No data
ANXA11	0.009128622410712134	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0750794535050352	No data
PKM	0.009128622410712134	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0750794535050352	No data
TARDBP	0.009128622410712134	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0750794535050352	No data
IPO9	0.009128622410712134	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0750794535050352	No data
PPP2R2C	0.00911669862591721	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07498138490214677	No data
CETP	0.009092548387842783	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07478275836299703	No data
FBXW2	0.009087062821513654	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07473764166262027	No data
FOXC1	0.009076866414542499	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07465378008650655	No data
CYTH4	0.009070966567636458	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07460525608567277	No data
UQCRQ	0.0090709594948906	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07460519791502336	No data
PPP1R12C	0.00907036773073905	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0746003308795493	No data
ENSG00000269667	0.009068496572497989	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07458494131343082	No data
HKDC1	0.009066726102648096	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07457037987110178	No data
LPO	0.0090665540120402	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0745689644911887	No data
SIL1	0.009061262235059991	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07452544163463169	No data
LANCL3	0.00905799495961048	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07449856953453125	No data
R3HDML	0.009057936291034146	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07449808700776533	No data
ENSG00000231713	0.009057683834263641	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07449601064667707	No data
TRIM47	0.00905394993218363	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07446530071970281	No data
TMEM97	0.00905362592302082	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0744626358673538	No data
ENSG00000261829	0.009048001529159433	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07441637736323224	No data
GYG1	0.009039569207484641	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07434702471891878	No data
PAG1	0.00903477594292254	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07430760193773274	No data
C1orf53	0.009031759790964612	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07428279523300764	No data
PHLDA3	0.009030589639807676	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07427317118400788	No data
VPREB1	0.00902828592792811	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07425422402843838	No data
TMCC2	0.009025104087172098	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07422805459625538	No data
CBY1	0.009024090472421073	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07421971799976276	No data
ILDR1	0.009015253533815097	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0741470375348094	No data
APBA2	0.009011374633258804	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07411513505041865	No data
ENSG00000230552	0.009009918818914657	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07410316153016051	No data
CHD9NB	0.00900665286820922	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07407630032557715	No data
INAFM1	0.008999041353374404	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07401369850589043	No data
VPS45	0.008980190335180879	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0738586560383301	No data
CALN1	0.008967715038722493	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07375605146139966	No data
AXIN2	0.008965802197607934	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07374031906947219	No data
THEMIS2	0.008965606466329467	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07373870925401924	No data
KLRD1	0.00896261064710656	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07371406977832005	No data
CARMN	0.008956904604282322	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07366713974247835	No data
LINC00595	0.008956196926949305	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07366131936509496	No data
GALNT14	0.008955418847570978	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07365491995761811	No data
ENSG00000250230	0.008954939890108017	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07365098071432889	No data
BBOX1	0.008949676481396341	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07360769117601011	No data
RETREG1	0.008947640896203911	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07359094926064386	No data
EGF	0.008944308682640437	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07356354306921084	No data
MRPL41	0.008937384044123677	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07350659054645688	No data
CLDN3	0.008934343211530239	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07348158085287511	No data
MGAT3-AS1	0.008927170700298871	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07342258967115223	No data
CHPT1	0.00892496712235296	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07340446607916966	No data
LAD1	0.008920140480891956	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0733647687856622	No data
GRK5	0.008907021178558315	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07325686750491459	No data
CLDN5	0.008906430547784346	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07325200979104082	No data
DNAJB5-DT	0.008905564463775965	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07324488657889412	No data
HS3ST2	0.008904092863198688	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.073232783222862	No data
NPY4R2	0.008902446194839389	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07321924000078994	No data
TGFBR3L	0.008898478278827102	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07318660539806973	No data
LINC02432	0.008897542620633614	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07317890996466543	No data
SYNPO	0.008896825110144868	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07317300871330949	No data
KRT15	0.008890042287114864	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07311722256909166	No data
NUDT7	0.008872668941139054	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07297433339450086	No data
HAS3	0.008872474395276709	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07297273332864543	No data
PRXL2A	0.008857783034834414	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0728519024668104	No data
PNLIPRP1	0.00885047739989607	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07279181639314011	No data
LINC01738	0.0088501059527267	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07278876138119773	No data
ENSG00000279780	0.008842218190621556	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07272388753259412	No data
MIR4435-2HG	0.008837848665579991	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0726879498480852	No data
ABCA8	0.00883668044602801	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07267834168580282	No data
FBXO6	0.008824392960120034	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07257728177934432	No data
TMCC3	0.00882199636064524	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07255757065857028	No data
ANK1	0.008820807904560427	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0725477960584885	No data
CFAP144	0.008819373331393121	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07253599723884536	No data
SLC16A14	0.008819008051369663	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07253299294933664	No data
MANCR	0.008817753696176578	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07252267635410892	No data
AKAP17A	0.0088150945851025	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0725008061750974	No data
SPINT1-AS1	0.008810986045640847	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07246701499789601	No data
ENSG00000266088	0.008797046875337031	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07235237061436932	No data
PSME2	0.008781217347308514	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07222217875626058	No data
DDX3X	0.008781217347308514	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07222217875626058	No data
GJB6	0.008769367685825468	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07212471978947027	No data
TNMD	0.008766662924628368	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07210247415552867	No data
SCT	0.008763897824596124	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07207973225757656	No data
SLC40A1	0.00875975267165532	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07204563994841005	No data
PLCE1	0.008754351208357434	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07200121496353426	No data
CCNK	0.00875292524472391	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07198948695403773	No data
YIF1B	0.008750288918250772	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07196780416971842	No data
PTMA	0.008747623958910994	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07194588589094186	No data
ENSG00000271969	0.008743196137551075	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07190946874134757	No data
KRT14	0.008739576821865956	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07187970124396681	No data
MAB21L4	0.008737081636390651	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07185917929076828	No data
NOS1	0.008736774086698184	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07185664981131376	No data
IL20	0.008718630176641167	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07170742303971164	No data
NCS1	0.008715257801853499	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07167968653745746	No data
BLVRA	0.008709394092587112	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0716314597549896	No data
HNRNPL	0.008705919584232011	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07160288324291988	No data
ENSG00000284377	0.008694072817308067	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07150544808277923	No data
HLA-E	0.008692518182184186	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07149266179912664	No data
GOLM1	0.00868411785901754	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07142357233039394	No data
H2AC21	0.008681405140697322	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07140126125213572	No data
DGKA	0.008680687602561882	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07139535977339623	No data
BTNL9	0.008680437781474409	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0713933050898002	No data
MINK1	0.00867892427191111	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07138085704826945	No data
INSIG1	0.008678204543612901	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0713749375562727	No data
VIM	0.008673973053329603	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07134013515524347	No data
ANO3	0.008672056553473848	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07132437267155878	No data
P2RY8	0.008670604429760745	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0713124295053398	No data
Y_RNA	0.008658628063871502	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07121392844291383	No data
BAG3	0.008656065305329275	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07119285072689503	No data
TMEM121	0.008655502529294696	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07118822210767727	No data
ENSG00000274414	0.008653680975456593	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07117324051894003	No data
ELOVL7	0.008651940794372705	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0711589281902118	No data
TGFBR1	0.008634640963107076	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07101664364620122	No data
HOXA-AS3	0.008620231200687745	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07089812882119202	No data
SLC16A4	0.008593380935941431	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07067729558777301	No data
GMFG	0.008590162887180518	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07065082835849662	No data
ENSG00000260816	0.00858127735434918	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0705777482244892	No data
AGPAT2	0.008568946928979738	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07047633515726277	No data
C14orf180	0.008558187533047611	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07038784321069257	No data
TESC	0.008558138782591844	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07038744225670275	No data
ADD3-AS1	0.008552252559412088	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07033903030584517	No data
RASSF7	0.008548541022118702	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07030850432074977	No data
IGF2BP3	0.008547222821204474	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07029766261870567	No data
HTR4	0.008540710674464482	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07024410268420674	No data
RN7SL3	0.00853384632663225	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07018764602944273	No data
CRYM	0.008528899606465622	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07014696113417125	No data
MFSD3	0.00852011627272154	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07007472154885502	No data
PRPF19	0.00851878796542197	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07006379672562855	No data
FOXP2	0.00851511985193553	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07003362788485874	No data
SLC25A23	0.00851511985193553	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07003362788485874	No data
ACVR2A	0.00851511985193553	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07003362788485874	No data
IFT74	0.00851511985193553	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07003362788485874	No data
IQGAP2	0.00851511985193553	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07003362788485874	No data
SEC14L1	0.00851511985193553	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07003362788485874	No data
FAHD1	0.00851511985193553	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07003362788485874	No data
ARHGAP29	0.008513400464792988	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07001948657840333	No data
CNFN	0.008511729835109314	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07000574628353559	No data
B2M	0.00849725930667519	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06988673168112546	No data
